HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference,HCPCS_Desc,HCPCS_prefix,oncology_related
G0407,2412.0,0.001258072523783452,0.7818525519848771,0.008925756246937571,True,-21.814744801512287,"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth",G,False
G0481,141131.5,0.0001336812067726795,0.8570082449941108,0.0011567674366398913,True,-14.299175500588923,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms",G,False
G0482,92933.0,0.003016163601156031,0.9203446251577038,0.018354458987522675,True,-7.965537484229623,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms",G,False
G0498,18527.0,1.91375613058588e-06,0.6240234375,2.3291812418594005e-05,True,-37.59765625,"Chemotherapy administration, intravenous infusion technique; initiation of infusion in the office/clinic setting using office/clinic pump/supplies, with continuation of the infusion in the community setting (e.g., home, domiciliary, rest home or assisted l",G,True
G3002,9825.0,2.604939845651643e-06,0.637218045112782,3.0465585538597728e-05,True,-36.2781954887218,"Chronic pain management and treatment, monthly bundle including, diagnosis; assessment and monitoring; administration of a validated pain rating scale or tool; the development, implementation, revision, and/or maintenance of a person-centered care plan tha",G,False
G6002,136252.5,1.0910253934127306e-12,0.5830597504924491,2.5127154060597814e-11,True,-41.69402495075509,Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy,G,True
G6012,22635.0,0.00011874873344792094,0.6906058995482328,0.0010456873763031627,True,-30.939410045176718,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 6-10 mev",G,True
G6013,10110.5,1.1848369259683915e-05,0.568679495686795,0.00012852904914309292,True,-43.1320504313205,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 11-19 mev",G,True
J0185,15086.5,0.0023062859656536477,0.7758620689655173,0.014881509011135823,True,-22.413793103448263,"Injection, aprepitant, 1 mg",J,True
J0640,14818.0,6.697606397950671e-05,0.6303095298174783,0.0006113607791300095,True,-36.96904701825217,"Injection, leucovorin calcium, per 50 mg",J,True
J0885,18447.0,0.0015192575926010758,0.7866879582655083,0.01048077703282862,True,-21.33120417344917,"Injection, epoetin alfa, (for non-esrd use), 1000 units",J,True
J1097,9841.5,0.002503159782518028,0.9475936909177868,0.015697232185229264,True,-5.240630908221322,"Phenylephrine 10.16 mg/ml and ketorolac 2.88 mg/ml ophthalmic irrigation solution, 1 ml",J,False
J1200,407200.0,1.5929350209846926e-08,0.8022149993980979,2.5368337515043453e-07,True,-19.778500060190208,"Injection, diphenhydramine hcl, up to 50 mg",J,True
J1453,40987.0,1.6982420004798826e-07,0.7391304347826086,2.5170973017013707e-06,True,-26.086956521739136,"Injection, fosaprepitant, 1 mg",J,True
J1626,31207.5,0.006599585438081149,0.9076771716017645,0.03618893553409334,True,-9.232282839823547,"Injection, granisetron hydrochloride, 100 mcg",J,True
J1745,37979.5,0.001816171836139174,0.7735013384051845,0.012130805858882952,True,-22.649866159481547,"Injection, infliximab, excludes biosimilar, 10 mg",J,True
J1885,4557223.0,4.010611602433424e-09,0.8996812869934739,6.670983965380928e-08,True,-10.031871300652606,"Injection, ketorolac tromethamine, per 15 mg",J,True
J1940,3155.5,0.006930502443754566,0.6666562009419152,0.03745473703357612,True,-33.334379905808476,"Injection, furosemide, up to 20 mg",J,True
J2469,171076.0,1.627888894092696e-13,0.7473389355742297,3.994999466322567e-12,True,-25.26610644257703,"Injection, palonosetron hcl, 25 mcg",J,True
J3010,14511.0,0.00012352260614969949,0.8363183049066364,0.0010813645696263166,True,-16.36816950933636,"Injection, fentanyl citrate, 0.1 mg",J,True
J3380,8359.5,0.001181559478783715,0.7682206172028889,0.00842283114161534,True,-23.177938279711107,"Injection, vedolizumab, intravenous, 1 mg",J,True
J3420,6638763.5,2.4370281472613082e-06,0.9075807090512973,2.8726229420867546e-05,True,-9.241929094870272,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",J,True
J3475,18398.5,0.0038745648650750602,0.7868229331643966,0.022745974913793588,True,-21.317706683560345,"Injection, magnesium sulfate, per 500 mg",J,True
J3490,139596.5,0.00035519376060347393,0.8055060191756338,0.002769401352205211,True,-19.44939808243662,Unclassified drugs,J,False
J3590,9989.5,3.004165430023891e-08,0.6339742970335297,4.6363254110781076e-07,True,-36.60257029664703,Unclassified biologics,J,False
J7040,85335.5,0.009204809141392429,0.8955882352941177,0.0478458308495294,True,-10.441176470588232,"Infusion, normal saline solution, sterile (500 ml = 1 unit)",J,True
J7308,140768.5,0.00014705446066686244,0.9161931818181819,0.0012579458721045317,True,-8.380681818181813,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",J,False
J7999,36090.0,0.0022436613318510073,0.8021211270990253,0.014603308755569382,True,-19.787887290097473,"Compounded drug, not otherwise classified",J,False
J9035,82201.5,3.802010192612883e-07,0.8355769230769231,5.22165987003806e-06,True,-16.44230769230769,"Injection, bevacizumab, 10 mg",J,True
J9045,47610.0,5.501085315361442e-07,0.7935675776166574,7.2877209885806005e-06,True,-20.64324223833426,"Injection, carboplatin, 50 mg",J,True
J9144,4882.0,0.000234757823724408,0.6807403123192597,0.0019099590332360805,True,-31.925968768074032,"Injection, daratumumab, 10 mg and hyaluronidase-fihj",J,True
J9201,2592.0,0.0003505125262460999,0.6223437248730731,0.0027472107423581753,True,-37.76562751269269,"Injection, gemcitabine hydrochloride, not otherwise specified, 200 mg",J,True
J9217,459541.5,7.773990617271035e-07,0.9432814710042433,1.0119707786134556e-05,True,-5.6718528995756685,"Leuprolide acetate (for depot suspension), 7.5 mg",J,False
J9263,4694.5,0.00039007701701483666,0.6760035204530671,0.003025623287415598,True,-32.399647954693286,"Injection, oxaliplatin, 0.5 mg",J,True
J9267,19029.0,1.2904115215782785e-05,0.7126024139366193,0.00013897453581314265,True,-28.73975860633807,"Injection, paclitaxel, 1 mg",J,True
J9271,89864.0,3.552113422535649e-10,0.7471940378917123,6.731030118399831e-09,True,-25.280596210828765,"Injection, pembrolizumab, 1 mg",J,True
