HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference
31652,17214.0,0.052442158570915436,1.0,0.19101194983129052,False,0.0
31653,7846.5,0.25401091597143555,1.0,0.6036003664402328,False,0.0
31654,12743.5,0.045605672431737396,1.0,0.17196899654990144,False,0.0
32408,51980.5,0.44466760308517606,1.0,0.8258900766979015,False,0.0
32555,531399.0,3.234554006047078e-10,0.9424999999999999,6.2078555731442e-09,True,-5.750000000000011
32674,5841.0,0.03250586749205118,1.0,0.13011038405240807,False,0.0
33208,318146.0,0.09422181469804397,1.0,0.29632364832557107,False,0.0
33225,14273.0,0.4831018588334077,1.0,0.8710607280690098,False,0.0
33228,25955.5,0.7779733423249504,1.0,1.0,False,0.0
33249,20976.5,0.7409044186587386,1.0,1.0,False,0.0
33274,4078.5,0.6824981039196519,1.0,1.0,False,0.0
33285,143772.5,0.6353043046085731,1.0,1.0,False,0.0
33286,8597.5,0.5329603467142205,1.0,0.9099353156908757,False,0.0
33340,75178.5,0.8900283297185659,1.0,1.0,False,0.0
33361,167076.5,0.9753206035783323,1.0,1.0,False,0.0
33508,75130.5,0.05529729450011591,1.0,0.19851330903279021,False,0.0
33518,20554.0,0.7513853291258676,1.0,1.0,False,0.0
33533,140855.5,0.6800069295338145,1.0,1.0,False,0.0
35301,10976.5,0.023156677912025556,0.9500000000000001,0.10165849511525589,False,-4.999999999999993
36010,1098.0,0.38154263697256496,0.9987669543773119,0.7635953576843981,False,-0.12330456226881115
36247,28943.5,0.9992195002659177,1.1329080276448698,1.0,False,13.290802764486976
36410,36927.0,0.9753328137313236,1.0857142857142856,1.0,False,8.571428571428562
36415,458124491.5,4.564506931585236e-08,0.9830903068189382,6.972517221003162e-07,True,-1.6909693181061836
36465,67450.5,0.9990908005583617,1.1050486270022883,1.0,False,10.504862700228834
36466,1954.0,0.01439500515295645,0.802675585284281,0.06929042673304117,False,-19.732441471571903
36471,27017.0,0.08251733641902981,0.9227220299884661,0.2697127786447328,False,-7.727797001153391
36475,61038.5,0.023097363509963532,0.9513087531663382,0.10165849511525589,False,-4.869124683366177
36478,7088.0,0.170902248182964,0.9537088678192972,0.4685726474906541,False,-4.62911321807028
36482,21085.0,0.8797169971204838,1.0526315789473686,1.0,False,5.2631578947368585
36556,848968.5,0.5006861949101901,1.0,0.885965997376542,False,0.0
36558,171140.5,0.03217475855815047,1.0,0.12913033126421247,False,0.0
36561,490614.0,0.0024782171513565705,1.0,0.015697232185229264,True,0.0
36573,41735.5,0.023437532274324057,0.9682539682539683,0.10229150383283707,False,-3.1746031746031744
36589,46566.0,0.4086297107761286,1.0,0.7934094384330279,False,0.0
36590,13060.0,0.9521569316020279,1.0,1.0,False,0.0
36591,16051.5,0.015461421282204813,0.9039943938332164,0.07347856399828764,False,-9.600560616678354
36620,2468290.0,0.49151030865351486,1.0,0.8760688831857463,False,0.0
36821,6946.0,0.048523277418003635,1.0,0.18000018925164504,False,0.0
36901,11574.5,0.6584527271838592,1.0034843205574915,1.0,False,0.34843205574914826
36902,63604.0,0.5134740903139702,0.9889042995839111,0.8958866121212277,False,-1.1095700416088872
37215,2690.0,0.005410142607834922,0.9703349282296652,0.030794614007334138,True,-2.966507177033484
37224,4830.5,0.6049777360150735,0.9810330912025826,0.9790828873670974,False,-1.896690879741736
37225,22451.0,0.8530326690866066,1.0110547245963912,1.0,False,1.105472459639123
37227,5405.0,0.7590373772018435,1.0625,1.0,False,6.25
37228,6374.5,0.4573621474416978,1.0144077521356623,0.8386406741485984,False,1.4407752135662255
37229,13199.0,0.7871028802711189,0.9633682207421504,1.0,False,-3.663177925784955
37238,1640.0,0.6774865536675211,1.0336879432624113,1.0,False,3.3687943262411313
37252,47701.0,0.7832315252036137,1.0267857142857144,1.0,False,2.6785714285714413
37253,25605.5,0.7809403554286083,1.0897435897435896,1.0,False,8.974358974358964
